english	dagbani	source
Fat (singular/plural)	Bara / baribara	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
Beautiful (singular/plural)	Viela / vieliviela	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
Ugly (singular/plural)	Biegau / bieri	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
Hard (singular/plural)	Kpema / kpemkpema	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
The hen is red	Noo maa nyela no zeea	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
The shirt is black	Liiga maa sabigimi	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
The car is blue	Loorima nyela loori bluuu'	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
This is a big book	Buku titali mbogo	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
[Name] is beautiful	Isabella viela	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
The road to Tamale is far	Tamale soli waga	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-five/
# === SOURCE: https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/ ===
Feel / touch	tabsibu	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
Speak / say	yelima	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
Have	mali	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
Eat	dima	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
Be good	be venyelnga	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
Sleep	gbihima	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
Give	tima	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
Learn	bohima	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
Ask	bohi	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
Bathe	suma	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
Beg	suhima	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
Buy	dama	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
Call	bolma	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
Clean	yibu	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
Come	kamna	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
Count	kalbu	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
Don't cry, have you heard?	Di kuhi, a wumiya	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
Stop crying, child	Cheli kuhigu, bia	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
Children are shouting very loudly	Bihimaa tahiri pampam hali	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
Shout at them	Tahimi be zugu	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
Eat TZ	Dimi sagam	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
Eat it all	Dimi di zaa	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
Drink all	Nyumi di zaa	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
Read the book for me	Karimmi buku maa ti maa	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
Run quickly	Zomi yomyom	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
I had not done the work	N daa bi tum tumaa maa	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
You had not yet done the work	A daa na bi tum tumaa maa	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
He had not yet done the work	O daa na bi tum tumaa maa	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
Respect	Jilma	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
Poverty	Fara	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
Poems	Yetogatalmalsi	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-six/
